2,26,55,14,2,2,44,155.0,14,155.0,44
4,26,54,14,4,4,44,399.0,14,399.0,44
5,26,56,14,5,5,44,2178.0,14,2178.0,44
8,26,57,14,8,8,44,300.0,14,300.0,44
9,26,58,14,9,9,44,209.0,14,209.0,44
10,26,60,14,10,10,7,46.0,14,46.0,7
11,26,59,14,11,11,50,50.0,14,50.0,50
15,26,61,14,15,15,44,1183.0,14,1183.0,44
16,26,62,14,16,16,44,544.0,14,544.0,44
18,26,66,14,18,18,44,174.0,14,174.0,44
19,26,63,14,19,19,44,103.0,14,103.0,44
20,26,64,14,20,20,44,625.0,14,625.0,44
21,26,65,14,21,21,7,335.0,14,335.0,7
22,26,67,14,22,22,44,163.0,14,163.0,44
23,26,68,14,23,23,17,202.0,14,202.0,17
24,26,69,14,24,24,44,212.0,14,212.0,44
25,26,72,14,25,25,44,363.0,14,363.0,44
27,26,71,14,27,27,3,225.0,14,225.0,3
28,26,70,14,28,28,13,69.0,14,69.0,13
29,26,73,14,29,29,7,422.0,14,422.0,7
30,26,74,14,30,30,6,280.0,14,280.0,6
31,26,76,14,31,31,6,324.0,14,324.0,6
32,26,75,14,32,32,3,134.0,14,134.0,3
33,26,77,14,33,33,44,44.0,14,44.0,44
34,26,84,14,34,34,44,500.0,14,500.0,44
35,26,85,14,35,35,44,46.0,14,46.0,44
36,26,78,14,36,36,7,112.0,14,112.0,7
37,26,80,14,37,37,7,86.0,14,86.0,7
38,26,81,14,38,38,12,488.0,14,488.0,12
39,26,82,14,39,39,50,73.0,14,73.0,50
40,26,79,14,40,40,44,157.0,14,157.0,44
41,26,83,14,41,41,44,919.0,14,919.0,44
42,26,86,14,42,42,7,583.0,14,583.0,7
43,26,87,14,43,43,44,226.0,14,226.0,44
45,26,88,14,45,45,44,156.0,14,156.0,44
46,26,89,14,46,46,44,572.0,14,572.0,44
47,26,90,14,47,47,7,54.0,14,54.0,7
48,26,91,14,48,48,7,242.0,14,242.0,7
49,26,92,14,49,49,13,43.0,14,43.0,13
51,26,93,14,51,51,44,392.0,14,392.0,44
52,26,94,14,52,52,44,1892.0,14,1892.0,44
102,26,95,14,102,102,44,229.0,14,229.0,44
103,26,97,14,103,103,7,462.0,14,462.0,7
104,26,96,14,104,104,1,28.0,14,28.0,1
105,26,98,14,105,105,44,389.0,14,389.0,44
106,26,100,14,106,106,7,240.0,14,240.0,7
107,26,99,14,107,107,1,98.0,14,98.0,1
108,26,101,14,108,108,7,27.0,14,27.0,7
0,26,53,14,0,0,44,251.0,14,251.0,44
