1,23,53,21,1,1,42,157.0,21,157.0,42
3,23,52,21,3,3,20,460.0,21,460.0,20
4,23,54,21,4,4,20,2610.0,21,2610.0,20
5,23,55,21,5,5,42,346.0,21,346.0,42
6,23,56,21,6,6,20,262.0,21,262.0,20
7,23,58,21,7,7,11,68.0,21,68.0,11
8,23,57,21,8,8,20,66.0,21,66.0,20
9,23,59,21,9,9,20,1686.0,21,1686.0,20
10,23,60,21,10,10,37,630.0,21,630.0,37
12,23,64,21,12,12,42,194.0,21,194.0,42
13,23,61,21,13,13,42,124.0,21,124.0,42
14,23,62,21,14,14,37,696.0,21,696.0,37
15,23,63,21,15,15,42,430.0,21,430.0,42
17,23,65,21,17,17,20,179.0,21,179.0,20
18,23,66,21,18,18,20,260.0,21,260.0,20
19,23,67,21,19,19,20,275.0,21,275.0,20
22,23,70,21,22,22,37,547.0,21,547.0,37
24,23,69,21,24,24,20,421.0,21,421.0,20
25,23,68,21,25,25,42,90.0,21,90.0,42
26,23,71,21,26,26,37,473.0,21,473.0,37
27,23,72,21,27,27,42,349.0,21,349.0,42
28,23,74,21,28,28,42,388.0,21,388.0,42
29,23,73,21,29,29,16,175.0,21,175.0,16
30,23,75,21,30,30,105,54.0,21,54.0,105
31,23,82,21,31,31,20,644.0,21,644.0,20
32,23,83,21,32,32,42,52.0,21,52.0,42
33,23,76,21,33,33,42,134.0,21,134.0,42
34,23,78,21,34,34,48,93.0,21,93.0,48
35,23,79,21,35,35,20,757.0,21,757.0,20
36,23,80,21,36,36,20,127.0,21,127.0,20
38,23,77,21,38,38,20,200.0,21,200.0,20
39,23,81,21,39,39,20,1453.0,21,1453.0,20
40,23,84,21,40,40,42,656.0,21,656.0,42
41,23,85,21,41,41,20,214.0,21,214.0,20
43,23,86,21,43,43,42,245.0,21,245.0,42
44,23,87,21,44,44,20,672.0,21,672.0,20
45,23,88,21,45,45,20,69.0,21,69.0,20
46,23,89,21,46,46,37,267.0,21,267.0,37
47,23,90,21,47,47,42,71.0,21,71.0,42
49,23,91,21,49,49,20,433.0,21,433.0,20
50,23,92,21,50,50,20,2532.0,21,2532.0,20
100,23,93,21,100,100,42,288.0,21,288.0,42
101,23,95,21,101,101,20,631.0,21,631.0,20
102,23,94,21,102,102,11,37.0,21,37.0,11
103,23,96,21,103,103,42,405.0,21,405.0,42
104,23,98,21,104,104,11,336.0,21,336.0,11
106,23,97,21,106,106,2,94.0,21,94.0,2
107,23,99,21,107,107,37,29.0,21,29.0,37
0,23,51,21,0,0,105,323.0,21,323.0,105
