114,285,206,~N,114,114,.
510,285,509,~N,510,510,.
201,285,207,~N,201,201,.
209,285,208,~N,209,209,.
290,285,511,~N,290,290,.
227,285,213,~N,227,227,.
226,285,215,~N,226,226,.
65,285,219,~N,65,65,.
223,285,220,~N,223,223,.
222,285,221,~N,222,222,.
210,285,225,~N,210,210,.
93,285,103,~N,93,93,.
513,285,515,~N,513,513,.
34,285,234,~N,34,34,.
64,285,62,~N,64,64,.
514,285,516,~N,514,514,.
232,285,235,~N,232,232,.
237,285,236,~N,237,237,.
241,285,240,~N,241,241,.
255,285,242,~N,255,255,.
78,285,243,~N,78,78,.
245,285,244,~N,245,245,.
109,285,246,~N,109,109,.
394,285,247,~N,394,394,.
352,285,368,~N,352,352,.
341,285,249,~N,341,341,.
248,285,251,~N,248,248,.
252,285,253,~N,252,252,.
82,285,254,~N,82,82,.
239,285,256,~N,239,239,.
258,285,257,~N,258,258,.
262,285,260,~N,262,262,.
395,285,261,~N,395,395,.
267,285,264,~N,267,267,.
434,285,269,~N,434,434,.
265,285,270,~N,265,265,.
263,285,271,~N,263,263,.
268,285,272,~N,268,268,.
274,285,273,~N,274,274,.
259,285,275,~N,259,259,.
266,285,276,~N,266,266,.
308,285,277,~N,308,308,.
304,285,291,~N,304,304,.
303,285,292,~N,303,303,.
306,285,293,~N,306,306,.
396,285,295,~N,396,396,.
279,285,296,~N,279,279,.
286,285,297,~N,286,286,.
278,285,299,~N,278,278,.
283,285,300,~N,283,283,.
320,285,301,~N,320,320,.
305,285,302,~N,305,305,.
342,285,310,~N,342,342,.
287,285,311,~N,287,287,.
288,285,312,~N,288,288,.
307,285,313,~N,307,307,.
284,285,314,~N,284,284,.
289,285,315,~N,289,289,.
282,285,316,~N,282,282,.
280,285,317,~N,280,280,.
309,285,321,~N,309,309,.
323,285,322,~N,323,323,.
329,285,325,~N,329,329,.
335,285,326,~N,335,335,.
340,285,331,~N,340,340,.
334,285,333,~N,334,334,.
438,285,406,~N,438,438,.
343,285,339,~N,343,343,.
327,285,344,~N,327,327,.
324,285,345,~N,324,324,.
337,285,346,~N,337,337,.
330,285,347,~N,330,330,.
349,285,348,~N,349,349,.
355,285,350,~N,355,355,.
359,285,358,~N,359,359,.
162,285,360,~N,162,162,.
356,285,361,~N,356,356,.
351,285,367,~N,351,351,.
397,285,370,~N,397,397,.
366,285,371,~N,366,366,.
