3,2,0
3,2,8
3,2,10
3,2,14
3,2,20
3,2,21
3,2,22
3,2,23
3,2,24
3,2,25
3,2,26
3,4,8
3,4,10
3,4,11
3,4,12
3,4,14
3,4,20
3,4,22
3,4,24
3,4,25
3,4,26
3,5,0
3,5,1
3,5,8
3,5,10
3,5,11
3,5,14
3,5,22
3,5,24
3,5,25
3,5,26
3,16,0
3,16,1
3,16,6
3,16,7
3,16,8
3,16,10
3,16,11
3,16,12
3,16,13
3,16,14
3,16,18
3,16,20
3,16,21
3,16,22
3,16,23
3,16,24
3,16,25
3,16,26
3,17,0
3,17,1
3,17,6
3,17,7
3,17,8
3,17,10
3,17,12
3,17,13
3,17,14
3,17,18
3,17,20
3,17,21
3,17,22
3,17,23
3,17,24
3,17,25
3,17,26
3,19,0
3,19,6
3,19,7
3,19,8
3,19,10
3,19,11
3,19,12
3,19,13
3,19,14
3,19,18
3,19,20
3,19,21
3,19,22
3,19,23
3,19,24
3,19,25
3,19,26
9,2,0
9,2,7
9,2,8
9,2,10
9,2,11
9,2,14
9,2,20
9,2,22
9,2,23
9,2,24
9,2,25
9,4,0
9,4,8
9,4,10
9,4,14
9,4,20
9,4,22
9,4,24
9,4,25
9,5,0
9,5,7
9,5,8
9,5,10
9,5,11
9,5,14
9,5,20
9,5,22
9,5,24
9,5,25
9,16,0
9,16,1
9,16,6
9,16,7
9,16,8
9,16,10
9,16,11
9,16,12
9,16,13
9,16,14
9,16,18
9,16,20
9,16,21
9,16,22
9,16,23
9,16,24
9,16,25
9,16,26
9,17,0
9,17,1
9,17,6
9,17,7
9,17,8
9,17,10
9,17,11
9,17,12
9,17,13
9,17,14
9,17,18
9,17,20
9,17,21
9,17,22
9,17,23
9,17,24
9,17,25
9,17,26
9,19,0
9,19,1
9,19,6
9,19,7
9,19,8
9,19,10
9,19,11
9,19,12
9,19,13
9,19,14
9,19,18
9,19,20
9,19,21
9,19,22
9,19,23
9,19,24
9,19,25
9,19,26
15,2,6
15,2,7
15,2,8
15,2,10
15,2,21
15,2,22
15,2,24
15,2,25
15,2,26
15,4,8
15,4,10
15,4,11
15,4,14
15,4,24
15,4,25
15,5,0
15,5,8
15,5,10
15,5,12
15,5,14
15,5,20
15,5,21
15,5,24
15,5,25
15,5,26
15,16,0
15,16,1
15,16,6
15,16,7
15,16,8
15,16,10
15,16,11
15,16,12
15,16,13
15,16,14
15,16,18
15,16,20
15,16,21
15,16,22
15,16,23
15,16,24
15,16,25
15,16,26
15,17,0
15,17,6
15,17,7
15,17,8
15,17,10
15,17,11
15,17,12
15,17,13
15,17,14
15,17,18
15,17,20
15,17,21
15,17,22
15,17,23
15,17,24
15,17,25
15,17,26
15,19,0
15,19,1
15,19,6
15,19,7
15,19,8
15,19,10
15,19,11
15,19,12
15,19,13
15,19,14
15,19,18
15,19,22
15,19,23
15,19,24
15,19,25
15,19,26
