-100,,45,24,3564.0
-100,,45,10,2374.0
-100,,45,40,1164.0
-100,,48,24,1062.0
-100,,46,40,679.0
-100,,46,24,605.0
-100,,46,10,430.0
-100,,48,10,427.0
-100,,48,40,154.0
-100,,7,24,129.0
-100,,13,24,126.0
-100,,7,10,101.0
-100,,13,10,95.0
-100,,12,10,78.0
-100,,45,53,78.0
-100,,7,40,48.0
-100,,13,40,38.0
-100,,12,24,27.0
-100,,46,53,26.0
-100,,48,53,24.0
-100,,12,40,13.0
-100,,13,53,12.0
-100,,7,53,1.0
11,,45,24,1.0
20,,45,24,73.0
20,,45,10,39.0
20,,46,10,20.0
20,,45,40,20.0
20,,46,40,18.0
20,,46,24,17.0
20,,48,24,11.0
20,,48,10,8.0
20,,7,10,7.0
20,,7,40,4.0
20,,7,24,3.0
20,,12,10,2.0
20,,48,40,2.0
20,,12,24,1.0
20,,13,24,1.0
59,,45,24,33.0
59,,46,40,26.0
59,,45,10,19.0
59,,46,10,15.0
59,,48,24,15.0
59,,48,10,12.0
59,,45,40,11.0
59,,46,24,9.0
59,,13,10,5.0
59,,13,24,4.0
59,,12,10,3.0
59,,7,24,2.0
59,,12,24,1.0
59,,7,40,1.0
59,,12,40,1.0
25,,45,24,33.0
25,,45,10,20.0
25,,45,40,15.0
25,,48,24,10.0
25,,46,40,9.0
25,,46,24,7.0
25,,46,10,4.0
25,,13,10,3.0
25,,7,24,3.0
25,,48,10,2.0
25,,13,24,2.0
25,,48,40,2.0
25,,7,10,1.0
25,,12,24,1.0
25,,13,40,1.0
25,,45,53,1.0
22,,45,24,39.0
22,,45,10,34.0
22,,45,40,28.0
22,,46,40,26.0
22,,46,10,16.0
22,,46,24,14.0
22,,48,24,9.0
22,,48,40,9.0
22,,7,10,3.0
22,,7,24,3.0
22,,45,53,3.0
22,,46,53,3.0
22,,48,10,2.0
22,,12,10,1.0
22,,7,40,1.0
41,,45,24,180.0
41,,45,10,166.0
41,,45,40,64.0
41,,48,24,59.0
41,,46,24,37.0
41,,48,10,31.0
41,,7,10,29.0
41,,7,24,29.0
41,,46,10,27.0
41,,46,40,27.0
41,,7,40,18.0
41,,48,40,13.0
41,,13,24,6.0
41,,45,53,6.0
41,,13,40,4.0
41,,13,10,3.0
41,,48,53,3.0
41,,12,10,1.0
41,,46,53,1.0
1,,12,10,1.0
1,,45,10,1.0
1,,48,10,1.0
60,,45,24,3.0
60,,45,10,2.0
60,,12,10,1.0
60,,48,10,1.0
60,,45,40,1.0
54,,45,24,30.0
54,,45,40,25.0
54,,45,10,12.0
54,,46,40,12.0
54,,48,10,5.0
54,,13,24,5.0
54,,46,24,5.0
54,,48,24,4.0
54,,13,40,4.0
54,,13,10,3.0
54,,48,40,3.0
54,,7,10,1.0
54,,45,53,1.0
28,,45,24,50.0
28,,45,10,27.0
28,,48,24,13.0
28,,45,40,11.0
28,,46,24,8.0
28,,46,40,7.0
28,,46,10,5.0
28,,48,10,5.0
28,,7,10,3.0
28,,13,10,3.0
28,,48,40,3.0
2,,45,24,26.0
2,,45,10,16.0
2,,45,40,7.0
2,,48,24,5.0
2,,46,40,4.0
2,,13,10,3.0
2,,46,10,3.0
2,,48,10,2.0
2,,13,24,2.0
2,,46,24,2.0
2,,7,10,1.0
2,,12,10,1.0
2,,7,24,1.0
2,,13,40,1.0
2,,48,40,1.0
44,,45,24,74.0
44,,45,10,47.0
44,,48,24,18.0
44,,45,40,18.0
44,,46,10,10.0
44,,46,40,9.0
44,,48,10,8.0
44,,46,24,6.0
44,,7,10,1.0
44,,12,10,1.0
44,,48,40,1.0
44,,48,53,1.0
17,,45,10,16.0
